,Part1_TotalDistinctConflicts,Part2_smallest_last_NumColors,Part2_smallest_last_runtime,Part2_smallest_last_clique,MaxDegreeAtDelete_smallest_last,Part2_largest_first_NumColors,Part2_largest_first_runtime,Part2_largest_first_clique,MaxDegreeAtDelete_largest_first,Part2_random_NumColors,Part2_random_ordering_runtime,Part2_random_ordering_clique,MaxDegreeAtDelete_random
0,1182883,938,10.273667573928833,5,938,938,9.112996816635132,6,2180,961,9.280810594558716,3,2089
1,1220848,763,8.852715253829956,5,763,770,6.825989246368408,5,2184,796,8.120060443878174,3,2109
2,1269224,890,11.478018999099731,6,890,890,8.42349123954773,3,2183,910,10.345941543579102,3,2092
3,1282948,848,11.759568214416504,4,848,848,7.892657995223999,6,2187,868,10.289299249649048,4,2102
4,1134167,715,7.6802818775177,3,715,715,5.798104763031006,4,2171,731,7.081646203994751,6,2061
5,1158119,865,9.63085150718689,5,865,869,8.16601276397705,4,2174,877,8.057665824890137,4,2120
6,1211989,683,8.170167922973633,4,721,686,5.825790882110596,4,2186,717,7.404984951019287,4,2134
7,1268250,836,10.335891008377075,4,836,858,8.038993120193481,3,2181,847,9.289725303649902,4,2179
8,1115330,707,8.302119731903076,4,707,727,5.97688889503479,3,2177,722,6.869107007980347,3,2117
9,1198774,739,9.07585859298706,5,739,745,6.364822864532471,5,2180,765,7.619308233261108,4,2167
10,1197292,830,9.108270168304443,5,830,830,7.29025936126709,6,2170,848,8.59476900100708,3,2112
11,1229941,763,8.697172164916992,4,763,763,6.482072591781616,3,2174,774,7.785876274108887,4,2150
12,1198107,741,8.278959512710571,5,741,742,6.105264186859131,5,2174,771,7.379018068313599,6,2054
13,1223227,952,10.899661302566528,4,952,952,9.319638013839722,5,2188,973,9.81960916519165,6,2149
14,1150830,869,9.62314224243164,4,869,869,7.79161524772644,5,2178,887,8.357330799102783,3,2016
15,1146915,665,8.146810293197632,6,681,665,5.271117448806763,3,2182,685,6.26460337638855,3,2124
16,1242145,859,11.133952617645264,5,859,859,7.976647138595581,3,2184,877,9.594930171966553,3,2036
17,2513,27,0.003952503204345703,4,32,30,0.003816366195678711,5,93,57,0.0029878616333007812,4,76
18,3084,49,0.005014657974243164,4,49,49,0.004853725433349609,3,104,62,0.00397944450378418,4,81
19,2458,28,0.003833770751953125,4,32,30,0.0036423206329345703,6,106,46,0.0027251243591308594,4,82
20,2645,41,0.004278898239135742,3,41,41,0.0040476322174072266,3,100,59,0.0033028125762939453,6,97
21,2792,38,0.004509925842285156,6,38,38,0.00418400764465332,3,106,68,0.003590822219848633,3,89
22,2713,36,0.00415492057800293,3,36,36,0.004029035568237305,5,102,54,0.003237485885620117,4,93
23,3178,50,0.0051116943359375,4,50,50,0.0049054622650146484,3,107,60,0.004187583923339844,4,96
24,3072,45,0.004729270935058594,4,45,45,0.0046389102935791016,4,104,62,0.003782987594604492,5,94
25,3054,51,0.005173921585083008,6,51,51,0.004945993423461914,6,104,68,0.004133462905883789,5,92
26,2628,39,0.004159688949584961,6,39,39,0.00410914421081543,3,105,63,0.0032389163970947266,5,90
27,2782,41,0.004392862319946289,6,41,41,0.004303455352783203,5,105,64,0.003401041030883789,5,92
28,2749,40,0.0043163299560546875,4,40,40,0.00433659553527832,3,104,54,0.0033473968505859375,3,90
29,3356,55,0.005425691604614258,3,55,55,0.005398273468017578,4,104,76,0.004626274108886719,4,93
30,2896,34,0.004500627517700195,4,36,33,0.00413203239440918,5,103,54,0.003385782241821289,5,101
31,3150,44,0.00487065315246582,6,44,45,0.0046956539154052734,4,106,61,0.004130125045776367,4,92
32,2661,37,0.0041408538818359375,3,37,37,0.004037618637084961,6,105,65,0.0031807422637939453,5,78
33,2920,40,0.00472259521484375,4,40,40,0.004301309585571289,3,107,57,0.003621339797973633,4,79
34,3161,47,0.004892587661743164,3,47,47,0.0047571659088134766,5,107,74,0.004044294357299805,6,85
35,3287,46,0.005268573760986328,4,46,46,0.004818916320800781,3,106,68,0.004184246063232422,5,82
36,11002,70,0.019341230392456055,6,70,70,0.0186464786529541,4,199,88,0.014606475830078125,5,157
37,11277,63,0.01926279067993164,5,69,68,0.018088579177856445,6,213,88,0.014375925064086914,3,211
38,10625,52,0.017578601837158203,4,65,55,0.016843080520629883,5,213,70,0.012752056121826172,4,192
39,9824,62,0.01691412925720215,6,62,62,0.016122817993164062,6,215,88,0.012555837631225586,5,185
40,11999,70,0.021358728408813477,6,73,77,0.019739151000976562,6,213,85,0.016436338424682617,6,199
41,12303,82,0.02300119400024414,4,82,82,0.020102977752685547,6,215,95,0.01681971549987793,4,211
42,12750,101,0.025368928909301758,4,101,101,0.02455759048461914,6,216,128,0.020406484603881836,6,190
43,12937,100,0.024919509887695312,6,100,100,0.024403810501098633,3,216,120,0.021312475204467773,3,204
44,12211,83,0.023311376571655273,6,83,83,0.02060389518737793,5,212,98,0.017174720764160156,5,200
45,10702,57,0.01804351806640625,4,64,64,0.017192840576171875,3,210,89,0.013137340545654297,3,180
46,10500,78,0.01885986328125,6,78,78,0.018187761306762695,6,214,91,0.01412343978881836,6,209
47,12476,80,0.021587848663330078,3,80,80,0.019969701766967773,3,215,98,0.016992807388305664,3,214
48,10923,81,0.019621610641479492,6,81,81,0.019272327423095703,3,210,98,0.015288352966308594,5,195
49,10536,73,0.01876664161682129,4,73,75,0.01818990707397461,3,217,85,0.014307022094726562,5,198
50,12663,78,0.02266836166381836,6,81,78,0.020785093307495117,5,217,106,0.0183255672454834,3,198
51,12858,91,0.023291349411010742,4,91,91,0.0222623348236084,3,215,112,0.020856380462646484,6,194
52,11501,84,0.02233266830444336,5,84,84,0.020101070404052734,5,213,103,0.016734600067138672,3,181
53,11395,91,0.02178359031677246,6,91,91,0.02122950553894043,3,217,110,0.017167329788208008,4,202
54,13316,94,0.026619434356689453,4,94,94,0.023473024368286133,5,217,110,0.022267818450927734,5,191
55,27185,136,0.06295108795166016,6,136,136,0.0589146614074707,4,312,160,0.05075645446777344,6,281
56,25156,121,0.05492258071899414,3,121,121,0.05197882652282715,5,310,134,0.04318809509277344,3,278
57,24536,118,0.05109000205993652,3,118,118,0.04816937446594238,6,317,144,0.03956103324890137,4,282
58,26436,117,0.05612778663635254,4,117,120,0.052527666091918945,4,319,149,0.04569888114929199,6,293
59,29520,135,0.06940174102783203,4,135,135,0.05927920341491699,3,326,152,0.055951595306396484,5,299
60,27610,131,0.06072831153869629,5,131,131,0.055565595626831055,6,321,157,0.05227470397949219,6,291
61,30096,133,0.06644368171691895,3,133,133,0.058950185775756836,4,327,154,0.06001567840576172,4,312
62,26667,159,0.06824922561645508,3,159,159,0.0682528018951416,4,327,173,0.05745577812194824,5,300
63,27146,143,0.07079720497131348,4,143,143,0.06129646301269531,4,322,157,0.05636024475097656,6,318
64,28092,150,0.06822538375854492,4,150,150,0.0652916431427002,5,325,168,0.05702543258666992,3,306
65,29797,136,0.06872701644897461,4,136,136,0.060068607330322266,4,326,154,0.06266140937805176,6,296
66,27068,134,0.06167435646057129,6,134,134,0.05732917785644531,3,325,149,0.05017375946044922,3,296
67,26698,110,0.05544567108154297,6,110,110,0.04962515830993652,4,323,122,0.04390358924865723,3,298
68,27003,128,0.05880331993103027,3,128,128,0.054627180099487305,5,323,150,0.04911041259765625,3,309
69,27842,149,0.06617307662963867,3,149,149,0.0641624927520752,4,326,162,0.05530405044555664,4,295
70,28504,137,0.06352043151855469,4,137,137,0.05920839309692383,5,320,148,0.054015159606933594,4,291
71,29480,139,0.07192683219909668,4,139,146,0.06369876861572266,5,322,165,0.05751180648803711,4,314
72,24480,101,0.05004143714904785,4,101,101,0.04590010643005371,4,318,129,0.03699660301208496,6,292
