,ColorOrder,DegreeAtDel,Section
0,109,105,34
1,108,102,8
2,107,101,20
3,106,97,14
4,105,93,6
5,104,92,12
6,103,85,2
7,102,82,4
8,101,81,18
9,100,78,65
10,99,73,91
11,98,70,43
12,97,69,76
13,96,67,16
14,95,62,87
15,94,60,27
16,93,59,10
17,92,57,102
18,91,53,61
19,90,52,48
20,89,51,107
21,88,49,47
22,87,48,9
23,86,46,44
24,85,45,93
25,84,43,24
26,83,43,28
27,82,40,21
28,81,40,64
29,80,39,45
30,79,38,26
31,78,38,81
32,77,37,35
33,76,35,60
34,75,35,7
35,74,34,86
36,73,34,53
37,72,33,97
38,71,31,11
39,70,30,69
40,69,29,73
41,68,29,80
42,67,28,84
43,66,28,50
44,65,27,71
45,64,25,3
46,63,25,31
47,62,25,103
48,61,24,96
49,60,24,52
50,59,23,79
51,58,21,15
52,57,20,17
53,56,20,70
54,55,20,105
55,54,19,51
56,53,18,58
57,52,18,29
58,51,17,75
59,50,17,89
60,49,16,100
61,48,16,22
62,47,15,40
63,46,15,41
64,45,14,99
65,44,14,23
66,43,14,106
67,42,13,5
68,41,12,55
69,40,12,59
70,39,11,74
71,38,10,66
72,37,10,68
73,36,10,85
74,35,9,90
75,34,9,25
76,33,8,98
77,32,8,56
78,31,7,67
79,30,7,77
80,29,7,63
81,28,6,78
82,27,6,33
83,26,5,1
84,25,5,62
85,24,5,36
86,23,4,13
87,22,4,82
88,21,3,46
89,20,3,72
90,19,2,54
91,18,2,39
92,17,2,19
93,16,2,30
94,15,1,104
95,14,1,38
96,13,1,42
97,12,1,49
98,11,1,57
99,10,1,88
100,9,1,95
101,8,0,94
102,7,0,108
103,6,0,32
104,5,0,109
105,4,0,37
106,3,0,92
107,2,0,83
108,1,0,101
