,ColorOrder,DegreeAtDel,Section
0,109,38,101
1,108,52,31
2,107,55,96
3,106,47,25
4,105,49,58
5,104,76,43
6,103,72,87
7,102,54,71
8,101,81,18
9,100,43,7
10,99,46,51
11,98,53,52
12,97,78,4
13,96,63,10
14,95,53,89
15,94,55,81
16,93,56,48
17,92,42,55
18,91,37,54
19,90,37,40
20,89,42,41
21,88,35,57
22,87,52,64
23,86,40,23
24,85,36,90
25,84,54,102
26,83,40,17
27,82,31,38
28,81,48,35
29,80,33,63
30,79,32,68
31,78,36,22
32,77,29,33
33,76,16,19
34,75,29,92
35,74,46,44
36,73,28,37
37,72,38,50
38,71,43,45
39,70,32,82
40,69,32,99
41,68,32,104
42,67,29,78
43,66,48,76
44,65,30,75
45,64,34,3
46,63,24,108
47,62,37,79
48,61,28,67
49,60,32,80
50,59,29,15
51,58,32,97
52,57,25,62
53,56,32,21
54,55,23,95
55,54,25,11
56,53,38,16
57,52,30,29
58,51,21,5
59,50,21,49
60,49,27,84
61,48,21,72
62,47,19,42
63,46,20,30
64,45,27,93
65,44,29,26
66,43,24,70
67,42,35,14
68,41,24,24
69,40,29,65
70,39,6,94
71,38,18,77
72,37,17,46
73,36,29,12
74,35,31,8
75,34,10,83
76,33,14,85
77,32,15,39
78,31,11,100
79,30,13,66
80,29,14,56
81,28,21,2
82,27,17,27
83,26,11,74
84,25,15,47
85,24,15,107
86,23,8,73
87,22,12,106
88,21,11,86
89,20,17,34
90,19,9,32
91,18,7,88
92,17,5,1
93,16,4,13
94,15,6,105
95,14,11,20
96,13,4,109
97,12,7,9
98,11,5,69
99,10,6,36
100,9,4,103
101,8,3,53
102,7,4,28
103,6,4,59
104,5,4,91
105,4,3,6
106,3,1,60
107,2,1,98
108,1,0,61
